id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
3479,,AS,FO,"<p>Ancient Greek Medicine Reflection Project</p>
","<p>Students summarize Hippocrates&rsquo;s methodologies and new paradigm for medicine with a reflection project. To communicate their ideas, students write a short report, draw a comic or sketch, or create a video recording or slide presentation.</p>
",,,1,,,
3480,,LE,,"<p>Ancient Greek Homeostasis Investigation</p>
","<p>Students discuss the four humors and consider how Hippocrates&rsquo;s belief in the natural ability of the body to heal itself, and the importance of balance, influenced his medical practices. A class discussion of how health is affected by environmental factors leads to a laboratory experiment on plant health and growth, which students design and conduct in small groups. They then extrapolate from their findings to consider the role of homeostasis in the health of both plants and humans.</p>
",,,1|8,,,
3481,,AS,SU,"<p>Ancient Greek Homeostasis Laboratory Report</p>
","<p>After completing their collaborative homeostasis experiment on plants, students write a full laboratory report documenting their research protocols and group findings. This provides an opportunity for students to demonstrate individual understanding of the design for their experiment and to personally interpret and explain their collective results.</p>
",,,1|8,,,
3482,,LE,,"<p>The Ancient Chinese View of Homeostasis</p>
","<p>Students investigate homeostasis within the context of the ancient Chinese philosophy of yin and yang, a fundamental principle of traditional Chinese medicine. Students also relate the concepts of yin-yang and homeostasis in terms of various medical treatments and learn about the ancient Chinese description of the circulatory system and methods of disinfection.</p>
",,,1|8,,,
3483,,AS,FO,"<p>Ancient Chinese Medicine Reflection Project</p>
","<p>Students summarize the beliefs of ancient Chinese physicians and their contributions to the field of medicine with a reflection project. As with their project on Ancient Greek Homeostasis, students write a short report, draw a comic or sketch, or create a video recording or slide presentation.</p>
",,,1|8,,,
3484,,LE,,"<p>Ancient Chinese Homeostasis Investigation</p>
","<p>Students investigate the ancient Chinese use of fire for decontamination and relate their knowledge of microorganisms to the goal of sterilization. Students develop safe laboratory procedures and then test the efficacy of their methods by looking for mold growth on bread placed in sterilized and unsterilized containers, and revisit the relationship between human illness and homeostasis in light of their findings.</p>
",,,1|8,,,
3485,,AS,SU,"<p>Ancient Chinese Homeostasis Laboratory Report</p>
","<p>Each student writes a complete laboratory report documenting research protocols and findings from the ancient Chinese homeostasis laboratory investigation. Students explain the rationale for their group&rsquo;s experimental sterilization procedure and personally interpret and explain their collective results.</p>
",,,1|8,,,
3486,,LE,,"<p>Comparative Analysis of Rational Philosophies</p>
","<p>Students conclude the unit by conducting comparative analyses of what they have learned about ancient Greek and Chinese philosophies regarding homeostasis and health. They focus on two areas: the views of homeostasis held by both cultures and the medical measures or practices each culture employed in their quest for homeostatic balance. Students work collaboratively to identify, discuss, and share their insights, so they may benefit from each other&rsquo;s knowledge and perspectives.</p>
",,,1,,,
3487,,AS,SU,"<p>Ancient Greek and Chinese Medicine: A Comparative Analysis Project</p>
","<p>Students now reflect on and summarize their comparative analyses of ancient Greek and Chinese philosophies and medical practices through their chosen medium. With this project, students demonstrate their understanding of all main concepts and information investigated throughout the unit.</p>
",,,1,,,
3488,,LE,,"<p>Science in Early Islamic Cultures</p>
","<p>Students read two key excerpts that describe the general state of civilization from 1,400 years ago up until the birth of Islam and are introduced to the House of Wisdom and Islamic contributions to math and science. Students analyze the readings, which touch on the significance of this time period as an era of scientific progress in the Islamic world and celebrate the importance of mathematicians and astronomers to culture.&nbsp;Students also discuss the differences between the helio- and geocentric models of the Universe.</p>
",,,1,,,
3489,,LE,,"<p>Early Islamic Astronomy</p>
","<p>Students read about how astronomy and geography&nbsp;developed,&nbsp;which allows them to better appreciate how this culture used the night sky for navigation and also the types of tools they invented for this purpose, such as the astrolabe. As they read, students take notes and also respond to a set of comprehension questions.</p>
",,,1,,,
3490,,LE,,"<p>The Astrolabe Quadrant</p>
","<p>Students learn that the astrolabe was an early tool for measuring the altitude of stars, determining their location, and telling time through a series of laboratory investigations requiring multiple class periods. They then construct a simplified astrolabe quadrant and use their model to complete four separate investigations.</p>
",,,1|10|3|7,,,
3491,,LE,,"<p>Sunrise, Sunset, and Equinoxes</p>
","<p>Students discuss the historical impact of equinoxes as they relate to timekeeping rituals and agriculture and then move into a scientific exploration of the autumnal equinox, as well as the various seasons.</p>
",,,1,,,
3492,,LE,,"<p>The Celestial Sphere</p>
","<p>Students evaluate a classroom model of the celestial sphere&nbsp;and relate it to two-dimensional representations of the night sky, and then use this model to predict their ability to observe constellations at different times of year.</p>
",,,1,,,
3493,,LE,,"<p>The Planisphere</p>
","<p>Students inspect a planisphere and come up with their own hypotheses for its use. They then learn about the historical background and uses for this astronomical tool.&nbsp;</p>
",,,1,,,
3494,,LE,,"<p>The Planispheric Astrolabe</p>
","<p>Students learn how to use a real, modernized astrolabe. Before beginning the investigation, students review the various uses of the astrolabe and learn more about the different types of astrolabes and their names. In the activity, students determine the time at night using the astrolabe and the known altitude of a star and learn how to use the astrolabe to estimate the time of sunrise and sunset.</p>
",,,1|3,,,
3495,,AS,FO,"<p>Quiz: Islamic Science and Positional Astronomy</p>
","<p>Students take a quiz that covers various topics discussed throughout the unit. Students make corrections to their work and address any lingering misunderstandings before taking the unit test.</p>
",,,1|3,,,
3496,,LE,,"<p>The Big Questions</p>
","<p>Students research the answer to the question: &ldquo;How do we view our Universe today, and how is this view different from the Ptolemaic view held in medieval times?&rdquo; In responding to this question, students reflect on their current knowledge of the Universe, summarize the main concepts discussed throughout the unit, contrast modern and medieval astronomy and cosmology, and consider the extent to which knowledge is aided and restricted by available technologies.</p>
",,,1,,,
3497,,AS,SU,"<p>Test: Astronomy</p>
","<p>Students take a test that is cumulative in nature and presents students with multiple-choice, fill-in, and open-ended questions. After the test is graded, students make corrections to their work.</p>
",,,1|3,,,
3498,,LE,,"<p>What Is Alchemy?</p>
","<p>Students watch an introductory video that sets the tone for the unit and helps them connect alchemy to modern science. They then use online sources to research the term&nbsp;<em>alchemy</em>&nbsp;and then discover and discuss the links between ancient alchemy and modern chemistry.</p>
",,,1,,,
3499,,LE,,"<p>Chemistry During the Golden Age of Islam</p>
","<p>Students begin with a classroom demonstration related to the transmutation of metals. As a class, students then review the online Islamic Era Science Timeline. To consolidate and share their findings, students design public service announcements (PSAs) about the contributions of Islamic scientists to the world of chemistry.</p>
",,,1,,,
3500,,LE,,"<p>States of Matter and Distillation</p>
","<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Students hone their understanding of the physical properties of solids, liquids, and gases through a classroom lecture and online research.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Students&nbsp;then explore how changes in temperature and pressure affect matter&rsquo;s physical properties, rendering distillation possible.&nbsp;They&nbsp;design an alembic still and use it to distill an essence to make perfume, following procedures they determine themselves.</p>
",,,1|10,,,
3501,,LE,,"<p>Atoms and Elements</p>
","<p>Students read online resources to learn more about atomic structure and how atoms of elements differ. They take notes on their readings and respond to questions.</p>
",,,1|10,,,
3502,,LE,,"<p>Modeling an Atom</p>
","<p>Students participate in a teacher-guided discussion of atomic structure, beginning with the history of its discovery. After this discussion, students practice building models of atoms, ions, and isotopes, using online resources and model-building kits.</p>
",,,1,,,
3503,,LE,,"<p>Periodic Table</p>
","<p>Students share and discuss their atom and element analogies, and constructively critique them as a class with a mind for identifying misconceptions.</p>
",,,1,,,
3504,,LE,,"<p>Lab: Metal, Nonmetal, or Metalloid?</p>
","<p>Students explore the physical and chemical properties of substances firsthand. They examine samples of eight elements&mdash;aluminum, carbon, copper, magnesium, silicon, sulfur, zinc, and iodine&mdash;and observe and describe some physical properties of each (such as luster, color, and malleability), as well as their reactions with hydrochloric acid and cupric chloride solutions.</p>
",,,1,,,
3505,,AS,FO,"<p>Atomic Model Project</p>
","<p>Students select an element and research its atomic structure and properties. Students then design and construct a three-dimensional model of an atom of a chosen element using common household items. For the second project, students create an advertisement for their element that communicates connections between their elements&nbsp;and inventions that led to modern-day products.</p>
",,,10,,,
3506,,LE,,"<p>Bonding</p>
","<p>Students learn how elements combine to make compounds through a lecture and class discussion. They also learn how properties can change in this process, as a result of chemical reactions, and work with molecule model kits to demonstrate types of bonding.</p>
",,,1,,,
3507,,LE,,"<p>Scientific Names of Compounds</p>
","<p>Students investigate the chemical names and composition of various substances in preparation for writing and balancing chemical equations.</p>
",,,3,,,
3508,,LE,,"<p>Lab: Physical vs. Chemical Changes</p>
","<p>This learning experience consists of two parts. Students first participate in a series of activities that help them to develop operational definitions for physical and chemical changes. They then complete the Chemical Change Lab (SC_G8_U2_11_LE_A01_Worksheet), where they refine their understanding of chemical changes through a hands-on investigation.</p>
",,,10,,,
3509,,AS,FO,"<p>Quiz: Physical and Chemical Changes</p>
","<p>Students take a quiz to show that they are able to differentiate between chemical and physical changes and to interpret basic information from the Periodic Table.</p>
",,,1,,,
3510,,LE,,"<p>Balancing Chemical Equations</p>
","<p>Students continue to unpack the nomenclature of chemistry and its symbolic language. They use kits to build physical models of molecules of common compounds.</p>
",,,1|3,,,
3511,,LE,,"<p>What&rsquo;s Happening?&mdash;Rainbow Fizz Investigation</p>
","<p>Students conduct a chemical reaction investigation, keep detailed notes and write a laboratory report. In their reports, students explain how they were able to determine that a chemical change had taken place.</p>
",,,10,,,
3512,,LE,,"<p>What&rsquo;s Happening? Trace the Reactions</p>
","<p>Students conduct a series of four to five chemical investigations that they select from a list of teacher-vetted resources. For each investigation, students keep detailed notes and write a short laboratory report. In their reports, students explain how they were able to determine that a chemical change had taken place.</p>
",,,10,,,
3513,,LE,,"<p>Islamic Science and Chemistry Review</p>
","<p>Students review all key terms and concepts discussed throughout the unit in preparation for the unit test.</p>
",,,1|3,,,
3514,,AS,SU,"<p>Test: Alchemy/Chemistry</p>
","<p>Students respond to open response, multiple-choice, and matching questions on the content covered in their student readings, project experiences, laboratory investigations, and class discussions.</p>
",,,1|3,,,
3515,,LE,,"<p>Medieval Remedies Lab</p>
","<p>Building upon the previous Alchemy and Chemistry unit, students apply the scientific method to test the antibacterial properties of natural remedies used to fight off disease in the Middle Ages. After running and documenting their experiments for several days, students complete their final laboratory reports and come together as a class to discuss their findings.</p>
",,,1|10,,,
3516,,LE,,"<p>Plague Case Study</p>
","<p>Students explore the intricate relationship between plague outbreaks and aspects of European and Islamic civilization from the 6th to 14th centuries. Students individually research an assigned topic and then work with a group to present their shared findings in a symposium-like case study of the plague in the Middle&nbsp;Ages. During the Plague Symposium, students actively create an atmosphere of collaborative learning as they share their research presentations with the class.</p>
",,,1|10,,,
3517,,LE,,"<p>Microbes: Bacteria</p>
","<p>Students now focus on one of the biological aspects of disease, through guided readings and class discussion. Students first conduct research to learn about, and then discuss, the relationship between microbes, disease, and human beings. Following the microbe introduction, students learn about bacteria through a classroom lecture.</p>
",,,1,,,
3518,,LE,,"<p>Simulating the Spread of Infectious Disease Lab</p>
","<p>This hands-on classroom activity gives students firsthand experience with the rate and patterns by which infectious disease can spread among populations. Having learned about the transmission and mortality rates of&nbsp;<em>Y.&nbsp;pestis&nbsp;</em>in the Plague Case Study (SC_G8_U3_02_LE), students now simulate the spread of infectious disease and determine the source of the original infection.</p>
",,,1|10,,,
3519,,LE,,"<p>Microbes: Viruses</p>
","<p>Shifting from a focus on bacteria, students learn about the unique properties of viruses through a lecture and discussion. Students come to understand the basic structure of viruses and the mechanisms by which viruses use host cells to replicate.</p>
",,,1,,,
3520,,AS,SU,"<p>Test: Microbiology</p>
","<p>Students respond to essay, short-answer, multiple-choice, and matching questions on the content covered in student readings, project experiences, and class discussions.</p>
",,,1|10,,,
3521,,LE,,"<p>Electricity: An Introduction</p>
","<p>Students review the structure and nature of the atom as introduced in Unit 2, with a particular focus on electrons. They then explore how the ancient Egyptians may have harnessed the power of electricity, according to one interpretation of a temple relief at Dendera.</p>
",,,1|10,,,
3522,,LE,,"<p>What Makes a Good Conductor?</p>
","<p>Students seek to answer the following question: &ldquo;Why do some materials conduct electricity, while others do not?&rdquo; After students discuss their initial hypotheses, they tackle the question by participating in a classroom lecture/discussion relating the conductive properties of a material to its chemical properties. They then perform a hands-on conductivity test of a variety of materials&nbsp;and then use their observations to hypothesize as to what kinds of chemical bonds hold each substance together.</p>
",,,10,,,
3523,,LE,,"<p>Static Electricity</p>
","<p>Through readings and discussions, students learn that since 600 BCE, it has been known that if one rubs amber, it can attract pieces of dry leaves. Students discover that the Greek word for&nbsp;<em>amber</em>&nbsp;was in fact&nbsp;<em>electron</em>&nbsp;and discuss why rubbed amber might attract leaves.</p>
",,,1,,,
3524,,LE,,"<p>Electrical Current</p>
","<p>Students learn about the properties and components of electrical circuits&mdash;along with current, voltage, and resistance. Students take a hands-on approach to understanding how electrical currents operate by using raw materials to build stoplight circuits and switches.</p>
",,,10|3,,,
3525,,LE,,"<p>Series versus Parallel Circuits</p>
","<p>Students complete a simulation of virtual parallel and series circuits before they embark on a hands-on investigation. Students use alligator clips, batteries, and light bulbs (with holders) to create series and parallel circuits.</p>
",,,3,,,
3526,,LE,,"<p>Magnetism</p>
","<p>Students observe a simple demonstration that shows the relationship between magnetism and electricity. They then transition from exploring electricity to exploring magnetism through online simulations, research into historical developments in the understanding of magnetism, and hands-on experimentation.</p>
",,,1|10,,,
3527,,LE,,"<p>Electromagnetism</p>
","<p>Students work in collaborative learning groups to research, discuss, build, and test their own electromagnets (solenoids), with each group focusing on different sets of variables. Upon completion of the explorations, students enhance their understanding by sharing and discussion of their findings.</p>
",,,10,,,
3528,,AS,SU,"<p>Electricity and Magnetism</p>
","<p>Students take a summative test to demonstrate their understanding of electricity and magnetism by answering short-answer, multiple-choice, and matching questions on the content covered in student readings, project experiences, and class discussions.</p>
",,,1,,,
3529,,AS,FO,"<p>Cultural History Journal Check-Ins</p>
","<p>This formative assessment establishes a formal way of checking in with student understanding as expressed through their Cultural History journals. The journals are checked several times throughout the unit.</p>
",,,10|4|7,,,
3530,,AS,DI,"<p>Human Survival and Imagination Webs</p>
","<p>Students create webs detailing what humans need to survive, and how they express imagination and creativity. They work independently and then create a class web as they share ideas. Students mark up their own webs and then transfer edited webs into their Cultural History journals.</p>
",,,10|4,,,
3531,,LE,,"<p>Tool-Making Workshop</p>
","<p>Studying early human tools, students create tools of their own that might have been used by early humans.&nbsp;They use natural materials and reflect in their Cultural History journals on uses for their tool.</p>
",,,10|4,,,
3532,,LE,,"<p>Gathering</p>
","<p>Students imagine what it would be like to get their food through gathering. They go on a nature walk to explore their local ecosystem and discover edible plants they can find through foraging.</p>
",,,10|4|8,,,
3533,,LE,,"<p>Dwellings Case Study</p>
","<p>Through intense study of the architectural sites Terra Amata and Dolni Vestonice, students gain a deeper understanding of early human settlements. They conduct research on the two sites and engage in a comparative analysis as they interpret artifact evidence for the emergence of human culture at each site.</p>
",,,10|4|5|7,,,
3535,,LE,,"<p>Lascaux Reading</p>
","<p>Students listen to a read-aloud of&nbsp;<em>The Secret Cave: Discovering Lascaux</em>, by Emily Arnold McCully. This reading about the caves of Lascaux prompts a conversation on the development of cultural practices such as cave paintings and the evolution of sacred spaces.</p>
",,,10|7,,,
3536,,AS,SU,"<p>Early Human Wax Museum</p>
","<p>Students create a museum to showcase what they have learned about early humans and Ice Age settlements.</p>
",,,4|5|7|6,,,
3537,,LE,,"<p>Historical and&nbsp;Philosophical Problems in Consciousness: Qualia and Subjectivity</p>
","<p>Students are introduced to the philosophical concepts of qualia and subjectivity and their importance to the discussion of&nbsp;human consciousness.</p>
",,,1,,,
3538,,LE,,"<p>Historical and Philosophical Problems in Consciousness: Free Will</p>
","<p>Students explore the concepts related to free will, particularly in the context of comparing human decision&nbsp;making with that of computers and robots.</p>
",,,1,,,
3539,,LE,,"<p>Exploring Artificial Intelligence Case Study: The Turing Test and the Loebner Prize</p>
","<p>Students develop an understanding of the Turing Test by studying transcripts from the Loebner Prize competition that evaluates human intelligence and artificial intelligence.</p>
",,,1|3,,,
3540,,LE,,"<p>Exploring Artificial Intelligence&nbsp;Case Study: AI in Science Fiction, from HAL to&nbsp;<em>Her</em></p>
","<p>Students explore how artificial intelligence is portrayed in popular media and the potential problems that it can cause.</p>
",,,1|3,,,
3541,,LE,,"<p>The Future of Consciousness: Transhumanism</p>
","<p>Students are asked to evaluate the current state of the art of a number of machine technologies and medical breakthroughs as well as to locate speculative claims about the promise of such technologies in the future.</p>
",,,1|3,,,
3542,,AS,SU,"<p>End-of-Course Examination</p>
",,,,1|3,,,
3543,,AS,FO,"<p>The Future of Consciousness: The Singularity and Other Techno-Utopias or Dystopias</p>
","<p>Student speculate on and write about the ever-changing relationship between humans and machines and the potential societal and cultural effects of artificial intelligence.</p>
",,,1|3,,,
3544,,AS,DI,"<p>What Is a Music System?</p>
","<p>Students explore music as a system. They discuss different kinds of musical systems from musical ensembles to musical notation and create short compositions of their own.</p>
",,,1|10|3,,,
3545,,LE,,"<p>Garage Band</p>
","<p>Students begin building on the concept of interactive parts in a music system by using computer software to create a multi-instrument composition. They track their creative process on a logging sheet and present their finished compositions to the class.</p>
",,,1|3|5,,,
3546,,LE,,"<p>Body Percussion Ensemble</p>
","<p>Each small group plays a different body percussion sound: clapping, patting, stomping, finger snapping, and so on in an ensemble. Groups learn to take cues for their parts from a conductor and take turns conducting the ensemble. From the experience, they build on their understanding of the importance of each part to the whole system.</p>
",,,1|3,,,
3547,,LE,,"<p>Group Vocal Ensemble</p>
","<p>Adding melody to the rhythm of the previous learning experience, the class sings call and response tunes. They sing together in two parts and then eliminate one part at a time to hear how each part adds to the system of rhythm and melody.</p>
",,,1|10|3,,,
3548,,AS,FO,"<p>Group Vocal Ensemble Reflection</p>
","<p>Students reflect on the call-and-response group vocal activity. They write what they noticed and tell what they liked and did not like about the activity while considering how each part contributed to form a system.</p>
",,,1|10,,,
3549,,LE,,"<p>Musical System Composition</p>
","<p>In pairs or small groups, students create their own original compositions, choosing from any combination of the vocal, body percussion, and computer/Garage Band activities. Students track their creative process on logging sheets in order to recall the process they followed to create a system.</p>
",,,1|10|3|5,,,
3550,,AS,SU,"<p>Musical System Presentation</p>
","<p>In the culmination of learning about music systems, each pair&nbsp;or small group presents its composition and explains the creative process behind it to the class. Students meet with the teacher to reflect on their experience and the work they created.</p>
",,,1|10|3|5,,,
3551,,LE,,"<p>Relaxation and Focus</p>
","<p>Students&nbsp;learn relaxation and focus activities, which they practice&nbsp;as a part of each subsequent session. These activities include meditation and movement techniques such as mindful breathing, silence, and stretching exercises.</p>
",,,10|8,,,
3552,,AS,FO,"<p>Progress in Theater Arts Studies</p>
","<p>Throughout this Performing Arts: Theater unit, the goal for students is to move from free play to developing the discipline to perform. The teacher informally assesses students at any point in the unit, with the purpose of specific goal setting.</p>
",,,10|6,,,
3553,,AS,FO,"<p>Sketchbook</p>
","<p>Students obtain their sketchbooks, and explore different ways of recording physical movements using writing and drawing. Throughout the unit,&nbsp;they record information in their sketchbooks, including notes and&nbsp;drawings about their theater experiences.</p>
",,,1|10|4|7,,,
3554,,LE,,"<p>Improvisation</p>
","<p>After listening to&nbsp;<em>The Sun&rsquo;s Daughter&nbsp;</em>by Pat Sherman and R. Gregory Sherman, students brainstorm ways to represent each character in the story using movement.&nbsp;Next, the class acts out movements, characters, and feelings during&nbsp;a series of&nbsp;improvisational&nbsp;activities.</p>
",,,1|10|7|6,,,
3555,,LE,,"<p>Creation of the Solar System</p>
","<p>After listening to&nbsp;the read-aloud&nbsp;<em>Born with a Bang: The Universe Tells Our Cosmic Story</em>by Jennifer Morgan, students explore and express the beginning of the Universe and the formation of the Solar System through improvisational exercises.</p>
",,,1|10|4|6,,,
3556,,LE,,"<p>The Solar System</p>
","<p>The class listens to the read-aloud&nbsp;<em>Our Solar System&nbsp;</em>by Seymour Simon and then acts out the Solar System&nbsp;through improvisational activities, meditation, and costume.&nbsp;The class then uses resources to explore other components of the Universe, and identifies and explores other systems such as galaxies using the same theater tools.</p>
",,,1|10|4|6,,,
3557,,LE,,"<p>Forces That Shape Earth</p>
","<p>The class listens to the read-alouds&nbsp;<em>Planet Earth/Inside Out</em>&nbsp;by Gail Gibbons and&nbsp;<em>From Lava to Life</em>&nbsp;by Jennifer Morgan, and then explores the early days on planet Earth through improvisational activities.</p>
",,,1|10|4|6,,,
3558,,AS,SU,"<p>Understanding the Unit Goals</p>
","<p>Students meet individually with the teacher to review their learning in movement, dance, voice, and gesture. They also review their sketchbooks and discuss their successes and challenges in this Performing Arts: Theater unit.</p>
",,,1|10|4|7,,,
3559,,LE,,"<p>Systems in Nature Are Everywhere</p>
","<p>Students explore current learning about systems in Cultural History and Science using theater methods from earlier in&nbsp;this unit, such as improvisation, meditation, dance, skits, props, and costume. They employ their senses to describe various environments, as they discover the world as an interconnected system and collaborate with their peers to imagine portraying these relationships as part of a performance.</p>
",,,1|10|4,,,
3560,,LE,,"<p>Creation Stories</p>
","<p>After a read-aloud, students act out creation stories and phenomena connecting them to the dynamics of systems. Using theatrical props, students perform a choreographed interpretation of the creation of Earth.</p>
",,,1|10|4,,,
3561,,LE,,"<p>Layers of Earth Dances</p>
","<p>Following a read-aloud, students perform a dance to convey the layers of Earth using movements to express triumph, joy, and awe to musical accompaniment. They record their experiences in their sketchbooks.</p>
",,,1|10|4|6,,,
3562,,AS,FO,"<p>Progress Check</p>
","<p>Students review their sketchbooks with their teacher in one-on-one conferences, discussing what they thought they did best and how they have made connections to different disciplines.</p>
",,,1|10|4,,,
3564,,AS,DI,"<p>Self-Portrait</p>
","<p>For grades K&ndash;6, the first activity of the Visual Arts Unit 1 class is for students to draw self-portraits in their sketchbooks. This ongoing exercise provides students with an opportunity for a cumulative self-study of their physical changes over time as well as their growth as an artist over time. In addition to the self-portrait, students reflect on their goals for the year, considering what they hope to learn during the school year and where they hope to be as an artist at year&rsquo;s end. In each Visual Arts course, students will revisit their portraits and reflections at the end of Unit 3 as a part of that unit&rsquo;s summative assessment.</p>
",,,1|10|4|3,,,
3565,,AS,FO,"<p>Sketchbooks</p>
","<p>This formative assessment provides teachers with an ongoing opportunity to review students&rsquo; sketchbooks and discuss progress, challenges, and accomplishments. With instructions and a rubric, teachers are guided to conduct individual student conferences after each learning experience.</p>
",,,1|10|4|3|5,,,
3566,,LE,,"<p>Branching Pattern Identification in Two&nbsp;Dimensions</p>
","<p>In this two-part learning experience, students begin by creating branching patterns by blowing air through a straw on a puddle of wet watercolor paints. This opportunity allows them to make observations of primary colors mixing into secondary colors. Then students create watercolor studies of the branching patterns in leaves by placing leaves on water-soaked paper and painting around the leaves. After using a weight to press the art overnight, students find that their prints clearly show the veins and branching patterns of the leaves.</p>
",,,10|4|3|5,,,
3567,,LE,,"<p>Branching Pattern Identification in Three&nbsp;Dimensions</p>
","<p>To build upon the prior learning experience, students continue with their investigation into the beauty and characteristics of branching patterns. Using an art material from the earth such as earthenware clay, students record their observations of the natural world of patterns surrounding them.</p>
",,,10|4|3,,,
3568,,LE,,"<p>Linear Pattern Identification&nbsp;in Paper</p>
","<p>Students view a presentation about artists who used linear patterns in nature as an inspiration for creating art. Then they investigate linear patterns by lining up and gluing colored paper strips in an AB, ABB, and ABC pattern. Once completed, they line up and glue paper strips in a pattern of their own design. When they are finished, students compare their work to their printed patterns from the previous printmaking learning experiences, and describe similarities and differences in the designs.</p>
",,,1|10|4|3,,,
3569,,LE,,"<p>Linear Pattern Identification&nbsp;in Fabric</p>
","<p>Students use the patterning and weaving skills they gained from the previous learning experience to create a small woven textile with fabric. They use a small cardboard loom to weave strips of fabric into linear patterns. In the process, they review basic vocabulary related to weaving, including the difference between the warp and the weft.</p>
",,,10|3,,,
3570,,LE,,"<p>Symmetry Identification Through Photography</p>
","<p>In this learning experience, students explore symmetrical patterns in nature. Students look through a variety of Internet resources, photography, and art books to find examples of symmetry in nature. They reflect on the strengths of several images, and discuss why they are considered works of art. Then, students go outdoors to identify and photograph symmetry in nature. They return to the classroom, print their photographs, and assemble a collection of images to display in their sketchbooks and on a documentation board. In a classroom discussion, students share their thoughts about where they found symmetry and how they photographed&nbsp;it.</p>
",,,1|10|4|3|5,,,
3571,,LE,,"<p>Symmetry Identification Through&nbsp;Printmaking</p>
","<p>In this learning experience, students experiment with various forms of printmaking&nbsp;such as: monoprinting, collagraph printing, and relief printing.&nbsp;Each of their prints reflects their understanding of symmetry and inspiration from symmetrical patterns in nature.&nbsp;When students are finished, they complete a reflection about the assignment to include along with their prints in their portfolio.</p>
",,,10|4|3|5,,,
3572,,AS,SU,"<p>Understanding the Unit Goals</p>
","<p>This summative assessment provides teachers with a final opportunity to review the total sum of each student&rsquo;s work, projects, and participation with this unit. In addition, students take a Pattern Assessment test to show their understanding of patterns they explored throughout the unit.</p>
",,,1|10|4|3,,,
3573,,AS,FO,"<p>Sketchbook</p>
","<p>Students review their sketchbooks and discuss their progress and challenges in one-on-one teacher conferences after each learning experience.</p>
",,,1|10|4|3|5,,,
3574,,LE,,"<p>Circular Pattern Identification in Trees</p>
","<p>Students learn about concentric circles and how to determine a tree&rsquo;s age by examining rings in a slice of its trunk. They paint the concentric circles on thin slices of tree branches and use these &ldquo;tree discs&rdquo; to create a class shadowbox display.</p>
",,,1|10|4|3,,,
3575,,LE,,"<p>Circular Pattern&nbsp;in Print</p>
","<p>Students mix a tinted bubble solution and blow air through straws to create a pile of bubbles. They lay pieces of paper on top of the bubbles, and then lift the paper to find a pattern of circles on the paper.</p>
",,,10|3,,,
3576,,LE,,"<p>Spiral Pattern Identification</p>
","<p>Students view two online presentations about the spiral patterns found in nature and then use books and the Internet to research more images of natural spiral patterns. Working as a class, students explore Gustav Klimt&rsquo;s&nbsp;<em>Tree of Life</em>&nbsp;and create their own version of a tree of life. Students also create clay pots using spiral patterns.</p>
",,,1|10|4|3|5,,,
3577,,LE,,"<p>Tessellating Pattern Identification in Multimedia</p>
","<p>Students view images or actual items from nature that show tessellation. Examples include a honeycomb, snakeskin, a pineapple, a turtle shell, and fish scales. After observing tessellations in nature, students explore and create several tessellation designs using a variety of mediums.</p>
",,,1|10|4|3,,,
3578,,LE,,"<p>Patterns in Nature I</p>
","<p>Students examine and describe circular, wave, spiral, tessellating, and other patterns found in nature. They compare these images with patterns in the art of Andy Goldsworthy, Marsha Tudor, and Debra Frasier and then make their own patterned creations using natural found objects such as leaves, seeds, and twigs.</p>
",,,1|10|4|3,,,
3579,,LE,,"<p>Patterns in Nature II</p>
","<p>Students view and discuss the online video&nbsp;<em>Patterns in Nature</em>&nbsp;by Amy Lamb. They review all patterns which were explored in Unit 1 and 2 by sketching examples of branching, circular, linear, spiral, symmetry and tessellating patterns in nature.</p>
",,,1|10|4|3,,,
3580,,AS,SU,"<p>Understanding the Unit Goals</p>
","<p>Students meet with the teacher to review their work in the unit,&nbsp;and&nbsp;they complete the worksheet Pattern Assessment II.</p>
",,,1|10|4|3|5,,,
3581,,AS,FO,"<p>Sketchbook</p>
","<p>Students reflect on and discuss their sketchbook work in a conference with the teacher. Students are guided in their review, and they evaluate their progress, challenges, and goals as artists.</p>
",,,10|4|3|5,,,
3582,,LE,,"<p>Watercolor Experiment I: Watercolor and Pipettes</p>
","<p>Students explore water as both a medium and subject for a work of art, first by investigating the versatility of a water droplet. They experiment with pipettes filled with diluted paints&nbsp;and&nbsp;drip paint from varying heights, and then create a work of art with this technique. Students also study images of liquid sculptures by artist and physicist Martin Waugh.</p>
",,,10|4,,,
3583,,LE,,"<p>Jackson Pollock</p>
","<p>Students learn about Jackson Pollock and his method of drip painting. They emulate Pollock&rsquo;s style and painting technique by using fluid paints&nbsp;and fluid arm movements&nbsp;with various painting tools to drip paint onto a large floor canvas. By creating this painting, students discover the effect of movement on fluid paint and the elements of chance in creating spontaneous works of art.</p>
",,,10|4,,,
